cid,db,identifier
5962,ChEBI,CHEBI:18019
5962,InChIKey,KDXKERNSBIXSRK-YFKPBYRVSA-N
6137,KEGG,C00073
6137,KEGG,D00019
6137,ChEBI,CHEBI:16643
6137,ChEBI,CHEBI:57844
6137,BioCyc,MET
6137,InChIKey,FFEARJCKVFRZRR-BYPYZUCNSA-N
6262,KEGG,C00077
6262,KEGG,D08302
6262,ChEBI,CHEBI:15729
6262,InChIKey,AHLPHDHHMVZTML-BYPYZUCNSA-N
6140,KEGG,C00079
6140,KEGG,D00021
6140,ChEBI,CHEBI:17295
6140,ChEBI,CHEBI:58095
6140,BioCyc,PHE
6140,InChIKey,COLNVLDHVKWLRT-QMMMGPOBSA-N
145742,KEGG,C00148
145742,KEGG,D00035
145742,ChEBI,CHEBI:17203
145742,ChEBI,CHEBI:60039
145742,BioCyc,PRO
145742,InChIKey,ONIBWKKTOPOVIA-BYPYZUCNSA-N
7405,KEGG,C01879
7405,ChEBI,CHEBI:18183
7405,InChIKey,ODHCTXKNWHHXJC-VKHMYHEASA-N
5951,KEGG,C00065
5951,KEGG,D00016
5951,ChEBI,CHEBI:17115
5951,BioCyc,SER
5951,InChIKey,MTCFGRXMJLQNBG-REOHCLBHSA-N
6288,KEGG,C00188
6288,KEGG,D00041
6288,ChEBI,CHEBI:16857
6288,ChEBI,CHEBI:57926
6288,BioCyc,THR
6288,InChIKey,AYFVYJQAPQTCCC-GBXIJSLDSA-N
6057,KEGG,C00082
6057,KEGG,D00022
6057,ChEBI,CHEBI:17895
6057,ChEBI,CHEBI:58315
6057,BioCyc,TYR
6057,InChIKey,OUYCCCASQSFEME-QMMMGPOBSA-N
6287,KEGG,C00183
6287,KEGG,D00039
6287,ChEBI,CHEBI:16414
6287,ChEBI,CHEBI:57762
6287,BioCyc,VAL
6287,InChIKey,KZSNJWFQEVHDMF-BYPYZUCNSA-N
6255,KEGG,C01971
6255,ChEBI,CHEBI:18147
6255,BioCyc,CPD-15717
6255,InChIKey,GUBGYTABKSRVRQ-QUYVBRFLSA-N
5288441,InChIKey,XJCCHWKNFMUJFE-CGQAXDJHSA-N
18950,KEGG,C00159
18950,InChIKey,WQZGKKKJIJFFOK-QTVWNMPRSA-N
5364509,KEGG,C03425
5364509,ChEBI,CHEBI:27542
5364509,InChIKey,QYDYPVFESGNLHU-KHPPLWFESA-N
12691389,ChEBI,CHEBI:59761
12691389,BioCyc,CPD-10815
12691389,InChIKey,CAAULPUQFIIOTL-UHFFFAOYSA-L
439281,KEGG,C00645
