Uniprot,SF ABF93_17-R1,SF ABF93_17-R2,SF ABF93_17-R3,SF ABF93_1-R1,SF ABF93_1-R2,SF ABF93_1-R3,SF ABF93_2-R1,SF ABF93_2-R2,SF ABF93_2-R3,SF ABF93_3-R1,SF ABF93_3-R2,SF ABF93_3-R3,SF ABF93_4-R1,SF ABF93_4-R2,SF ABF93_4-R3,SF ABF93_5-R1,SF ABF93_5-R2,SF ABF93_5-R3,SF ABF93_6-R1,SF ABF93_6-R2,SF ABF93_6-R3,SF ABF93_7-R1,SF ABF93_7-R2,SF ABF93_7-R3,SF ABF93_8-R1,SF ABF93_8-R2,SF ABF93_8-R3,SF ABF93_9-R1,SF ABF93_9-R2,SF ABF93_9-R3,SF ABF93_10-R1,SF ABF93_10-R2,SF ABF93_10-R3,SF ABF93_11-R1,SF ABF93_11-R2,SF ABF93_11-R3,SF ABF93_12-R1,SF ABF93_12-R2,SF ABF93_12-R3,SF ABF93_13-R1,SF ABF93_13-R2,SF ABF93_13-R3,SF ABF93_14-R1,SF ABF93_14-R2,SF ABF93_14-R3,SF ABF93_15-R1,SF ABF93_15-R2,SF ABF93_15-R3,SF ABF93_16-R1,SF ABF93_16-R2,SF ABF93_16-R3
G3XNI7,32.6119402174069,32.9598676450781,32.6871424199869,32.1794398021544,32.450850508799,33.0268702632976,32.6833965289481,32.7589482455893,32.7015826788825,32.9679048322093,32.799145677102,33.01049973794,32.7584048200667,32.9630538684552,32.978826413986,32.8652030016636,32.6754726718991,32.725329020375,33.0195027024228,32.7272679895216,32.9641674083433,32.7146898564744,32.4649984457175,32.4972010743909,32.6460770009066,32.6256678203875,32.7343885586162,32.8432412309884,32.6356379274998,33.129620744638,32.698248193917,32.5916293031266,32.8418826438284,31.8750353764322,32.3125914695362,32.7824033322702,32.7030737918368,32.9663714490211,32.7306739720015,32.7040150613144,32.697437594535,32.6556361144868,32.3082468312603,32.3136247896687,32.7316166799545,31.5562278657863,31.3186254689938,32.5618939022932,32.7237882401812,32.6150085264898,32.6158861510308
G3XPM3,31.0639099081749,31.0638930689052,31.172998403761,30.6914938106033,31.10387183739,31.2545435906838,31.1105530242248,30.7761190527064,31.1198841135592,31.157731620875,30.9649338321797,31.1797351575095,30.8926667093576,30.704480173828,31.0072872630628,30.7810936894837,30.9821954495394,30.967298199425,30.8005454756415,31.2383303533017,30.9555572682338,30.9705526687482,30.8132467255281,31.1573246306218,30.9366725783582,30.9652320485158,30.8514541812727,31.1766625588084,30.2180517854792,30.7041949138953,31.2014291974676,30.8074628971203,30.9527513143782,30.9257231948863,31.2512024901766,31.2792628038057,30.9716513988622,30.902787212665,30.9126930389384,30.6837768451301,31.1425486314858,31.0553682289881,30.8466460155687,30.9533811493554,30.8999800943049,29.903953469725,30.9042277521192,30.9794915221523,30.9124069141343,30.951863648445,30.9191874486538
G3XPW7,30.3587560328374,30.5247704952522,30.3481932346234,30.6081278291119,30.8074496916505,30.652620498081,30.0468831833532,31.0184104168299,30.8014541048233,30.8064440274148,30.6845488761255,29.8592178840816,29.9063985847572,30.2434746099023,30.3843437577944,30.192658599998,31.0296760195005,29.1100843446902,30.4375290684432,30.1179490511599,30.6294725902964,30.5770079524104,,31.2443039308023,30.7916637927304,36.4429488996226,30.9501641059217,30.6676001047217,31.363418003557,30.869056824279,30.4206372134317,30.6681571817147,30.5202175249262,,29.7629353332683,29.3540129210851,30.5136859987759,29.0819930759227,30.7495187723534,29.8372942916441,30.1859233869223,30.8233861625978,30.2390276326219,30.224804181726,30.6092921252158,30.8041443465219,30.0029471448945,29.8542176114117,30.3051823498733,30.6261525378241,30.4474670280721
G3XQ18,36.5699095696049,36.785861634972,36.9137304899289,34.2603219554905,34.1572804966046,34.1770106916551,36.6695244864251,36.6454656409037,36.7307584115152,36.5977781445469,36.7366596297428,36.662761952238,36.7989603121694,36.8307734834598,36.8077987163469,36.9558793713489,36.8484691495497,36.9265957396205,36.9934527364684,37.0338616166052,36.9805846099907,36.625161333736,36.5782711401127,36.6249455856105,36.4668520607588,36.6386601778632,36.4523032118622,36.6895855487222,36.73215711755,36.8612292937511,36.8588114696633,36.8187144332148,36.8139351979435,36.8334996771789,36.3186363472216,36.4008395845244,36.921943628043,36.6560209568033,36.7467186966988,36.3486176240055,36.8254706823624,36.7965384349734,36.9118983654678,37.0325844517482,36.9262673348513,36.7115246423137,36.7096301209118,36.8153657392108,36.7327596040879,36.8871318181707,36.705639687992
G3XTF3,36.3341671089167,36.3456145229598,36.3715738465043,36.4760160220534,36.1474393525637,36.6786741672841,36.5079929179837,36.5984618072041,36.4573187626249,36.3292356793937,36.2985001316005,36.3262547737837,36.3039043355059,36.0838230833504,36.1634218883172,36.1953082597481,35.8360461001789,36.1156738070417,36.1409611061739,36.0908525323845,36.21176351438,36.0714138717122,35.9816385594619,36.1839927642136,36.1083451835495,36.137121339531,36.2516818693775,36.2738698024498,36.2473076702506,36.0864623929613,36.3490164586798,35.9510056968657,36.2870077240159,36.209942926939,36.306108992095,36.4628867698349,36.1252194081679,36.2006198712153,36.0453339966537,36.1773258425214,36.1310724879547,36.1596074138981,36.2051276526617,36.2734278477538,35.9241529586569,36.0352204287283,36.0147381207478,36.1756201753522,36.207789449276,36.220061904075,36.226065622159
G3XRB3,29.7087257871208,29.4511743732322,28.6033961197229,29.7754432397458,28.7656333775448,30.139743069263,29.7895950459261,28.8192723935757,29.8213164380037,29.3654405232815,29.9442671636897,29.8268291591039,29.886651886728,29.7064480891968,29.8097918901071,29.2189478677967,28.2446154483028,29.2914363598657,30.0790788076614,28.6978309220128,29.0124681745766,29.6548342069947,29.420272973638,23.3413024237834,29.3256412063198,28.8908460275407,28.6558456024411,29.4413595690477,28.6451702181295,28.4104200375373,29.6124187687183,28.262544725388,29.8426683198082,29.270140120933,,27.2334503974237,27.1934118881095,29.1930834935739,28.6256264205304,,29.1714061203727,28.9101159258206,28.2234181735229,29.3620872866596,29.4531594717463,,29.1237167489846,29.462786091396,27.2663116116491,28.9722913765067,29.3727245893238
G3XRK2,28.1846101197655,27.4867654453593,27.3496898166089,28.7115745009636,28.4889136024385,29.1983529021783,,,27.6317577494686,28.6820807781972,28.2622304889235,28.1384351907123,28.3436683991821,,28.1272658751569,28.62333325452,,28.0110542179593,27.8117418173031,28.3285053786759,27.4075230352563,27.6607187244727,27.3942753199943,26.2517986796864,27.3065131469639,27.7292114929601,,27.5819225194802,28.2182111148851,28.317147883409,28.6724614236192,27.7456130226945,28.1779580870538,,,28.0010858881663,28.0376665471232,,,27.8343549357019,28.2119642944642,,,,28.4819018538976,,,,27.9273353971138,,28.1808304072963
G3XRW0,31.2492525373327,31.6064692423585,31.3807078042019,30.3634023711205,30.9859430808001,31.2345501762021,31.8674317120523,31.5258925703248,31.5688130224644,31.5718642188688,31.6442708652393,31.4408366467967,31.6344416998778,31.8222119937206,31.4268007442387,31.6366783994776,31.4991125429926,31.5096763659264,31.5008201139589,31.3235386264447,31.6035169152919,31.5282053706389,31.3886876037807,31.3675014835766,31.4089949253705,31.4841079718556,31.5947935619758,31.5437694646388,31.3962584428971,31.4022533589742,31.5698584515219,31.5312386489278,31.3378623480904,31.010775454026,31.52326837807,31.2219597405924,30.864833325406,31.2909773098965,31.2930485817741,31.3677329603233,31.1981042876452,31.2369428269903,31.2730903628019,31.3748646689422,31.298112817597598,31.0738484892217,31.2652841607705,31.2833997200315,31.4743328131171,31.4575641742123,31.3678124552079
G3XRW6,30.6619521337943,30.0688994662562,30.2815673895923,30.7483757867151,30.5083817753137,30.3234165409281,30.5140245432795,30.6257231922134,30.27682372451,30.3233228420944,30.4270248933932,30.2967940812825,30.2282956043011,30.3906972862006,30.3511161776345,30.6480945704664,30.4461043652775,30.2901271001154,30.5269141365002,30.4051645234997,30.3521240455204,30.120430535178,30.1853713948415,30.3992078832177,30.2005772700844,30.3191474111183,30.1148755478231,30.2924812964437,30.3046896438931,30.1995092801682,30.4494040980139,30.0851864276508,29.9513482827455,29.8303049079619,30.6614957215033,30.2303411577275,29.425220853269,30.0793506421799,30.3516117822319,30.2378657282101,30.7452119087108,30.2492807703292,30.3178846371551,30.3639059132873,29.9438211682003,30.5441082928314,30.5155939616454,30.15549715243,30.5823073245206,30.0898097304362,30.3968814956997
G3XRX5,33.0352206451549,33.614293051629,33.3103093082842,33.1276850600582,33.8774104285759,33.8524408063245,33.2908570062207,33.6827331835583,33.4990948379976,33.6164455282793,33.6637436896395,33.416020562706,33.496425024185,33.651210786101,33.4515535904898,33.500040687661,33.5135241260215,33.787243611713,33.4397346735234,33.3784829046752,33.7143631159497,33.4190161668387,33.195950886056,33.3676443910431,33.5800974054951,33.4794803381322,33.6540645120298,33.5325351840123,33.5197731213977,33.5837371628946,33.5153383921849,33.1818641078279,33.4181094496035,33.5532366909852,33.5726734232505,33.4150236450152,33.7462641545504,33.5669915938556,33.3369484144405,33.6322830153975,33.5226704173722,33.3846438788371,33.4591569404634,33.3807390858152,33.3475781634601,33.6664217171637,33.6867698399976,33.2605493902034,33.5319845653118,33.520077340494,33.5972211818288
