Sample #,Sample Name,muconic acid (mM),2-ketogluconaic acid (gmM),Gluconic acid (mM),Fructose (mM),Glucose (mM),Strain,Media,Sample,c_mol_balance,Gluconic acid (mM)_diff,Fructose (mM)_diff,Glucose (mM)_diff,sugar_usage,muconate_yield,OD of collection,growth_rate,delta_cdw,gluconate_uptake,fructose_uptake,glucose_uptake,2-ketogluconate_production,muconate_production
18,CJ522.gfg.3,1.9650433990297196,8.344514973185964,0.0,7.551814983351903,12.746016491056077,CJ522,gfg,3,-0.1012704183005333,8.25840774061,2.2773874464767694,-0.5359432665949484,10.53579518708677,0.18651116162908912,0.7038,0.07758743693436952,0.326052,1.965173315154906,0.5419278362918835,0.0,1.9856634194237979,0.4676023480779676
19,KT2440.f.1,0.0,0.0,0.0,24.248009190673724,0.0,KT2440,f,1,5.379758522351747,0.0,5.379758522351747,0.0,5.379758522351747,0.0,0.7853,0.15553929240699904,0.37006200000000006,0.0,2.261144980806225,0.0,0.0,0.0
20,KT2440.f.2,0.0,0.0,0.0,25.648459994222733,0.0,KT2440,f,2,3.979307718802737,0.0,3.979307718802737,0.0,3.979307718802737,0.0,0.7626,0.15332554425927336,0.357804,0.0,1.705205983612696,0.0,0.0,0.0
21,KT2440.f.3,0.0,0.0,0.0,24.230911541457328,0.0,KT2440,f,3,5.3968561715681425,0.0,5.3968561715681425,0.0,5.3968561715681425,0.0,0.7189,0.1488718550944705,0.334206,0.0,2.4040262291502588,0.0,0.0,0.0
22,KT2440.glu.1,0.0,2.8506481179037735,0.5263225583895497,0.0,27.275622710261224,KT2440,glu,1,13.89577894040442,-0.5263225583895497,0.0,16.746427058308193,16.746427058308193,0.0,0.7217,0.2745054658458522,0.335718,0.0,0.0,13.692997578010338,2.3308803506746054,0.0
23,KT2440.glu.2,0.0,2.7488025708954784,0.45112347585335466,0.0,27.887505564493253,KT2440,glu,2,13.385741633180686,-0.45112347585335466,0.0,16.134544204076164,16.134544204076164,0.0,0.7489,0.27964378850933747,0.35040600000000005,0.0,0.0,12.876277994952229,2.1936997790831727,0.0
24,KT2440.glu.3,0.0,2.705184829650468,0.4083305590946248,0.0,29.191179998409773,KT2440,glu,3,12.125684940509176,-0.4083305590946248,0.0,14.830869770159644,14.830869770159644,0.0,0.6532,0.26065460765391923,0.29872800000000005,0.0,0.0,12.940650160371083,2.360404416070395,0.0
25,KT2440.fg.1,0.0,2.9855397670107364,0.18000723528755247,13.31827076497254,0.0,KT2440,fg,1,20.353080848308274,-0.18000723528755247,3.2658915016622654,20.072729113656745,23.33862061531901,0.0,0.7027,0.33616549520863115,0.325458,0.0,3.3733385996164036,20.733117399729387,3.0837633557701007,0.0
26,KT2440.fg.2,0.0,3.0209506220463913,0.020969299831912362,13.14170918076114,0.0,KT2440,fg,2,20.49423157748402,-0.020969299831912362,3.442453085873666,20.072729113656745,23.51518219953041,0.0,0.7209,0.34057418024524855,0.33528600000000003,0.0,3.496747963691147,20.389319157878887,3.0685975008345814,0.0
27,KT2440.fg.3,0.0,3.727089902539789,0.47441812702822633,13.681275492454134,2.1837889336566274,KT2440,fg,3,17.064737051641004,-0.47441812702822633,2.902886774180672,17.88894018000012,20.79182695418079,0.0,0.7037,0.33641067982489864,0.325998,0.0,2.9956076821232855,18.46032959496925,3.8461366262428776,0.0
28,KT2440.glc.1,0.0,10.765894997672383,11.92659133340647,0.0,0.0,KT2440,glc,1,4.5763264456085615,15.342221443280945,0.0,0.0,15.342221443280945,0.0,0.7473,0.28732807499259333,0.349542,12.611505780158037,0.0,0.0,8.84970585867677,0.0
29,KT2440.glc.2,0.0,11.569151540290386,11.823249215036046,0.0,0.0,KT2440,glc,2,3.8764120213609825,15.445563561651369,0.0,0.0,15.445563561651369,0.0,0.8043,0.2811221882311127,0.38032200000000005,11.416879977792952,0.0,0.0,8.551556830748105,0.0
30,KT2440.glc.3,0.0,10.77763359828486,12.485494317436748,0.0,0.0,KT2440,glc,3,4.005684860965808,14.783318459250667,0.0,0.0,14.783318459250667,0.0,0.6909,0.27611784421523683,0.31908600000000004,12.79259517282366,0.0,0.0,9.326316274923126,0.0
31,KT2440.gg.1,0.0,16.356333332421205,0.5456900166390268,0.0,0.903163980603057,KT2440,gg,1,15.247386402587598,12.743264028555386,0.0,18.86045570645342,31.603719735008802,0.0,0.865,0.37199298636961864,0.4131,11.475199327230344,0.0,16.9836776628795,14.728737067015976,0.0
32,KT2440.gg.2,0.0,17.3573329148761,0.7623889872211063,0.0,2.1513227774036348,KT2440,gg,2,12.781529052750049,12.526565057973306,0.0,17.61229690965284,30.13886196762615,0.0,0.7871,0.3557215722690195,0.37103400000000003,12.00959862856888,0.0,16.885444320387084,16.641002589726355,0.0
33,KT2440.gg.3,0.0,18.16554057310504,0.6490417293490587,0.0,0.8821583417150688,KT2440,gg,3,13.35583308808172,12.639912315845354,0.0,18.881461345341407,31.52137366118676,0.0,0.9677,0.39133654067220786,0.46855800000000003,10.556771114958993,0.0,15.769671557676782,15.171739266685368,0.0
34,KT2440.gfg.1,0.0,11.625529545769929,0.0,7.725764134981869,0.0,KT2440,gfg,1,10.946389714148005,8.25840774061,2.1034382948468036,12.210073224461128,22.571919259917934,0.0,0.7256,0.34169460565738546,0.33782400000000007,8.353028133837837,2.127538359270868,12.349969674978821,11.758728609276247,0.0
35,KT2440.gfg.2,0.0,8.369813891918069,0.0,6.600358110287593,0.0,KT2440,gfg,2,15.32751139269414,8.25840774061,3.2288443195410794,12.210073224461128,23.69732528461221,0.0,1.1095,0.41491285454906157,0.54513,6.2856924581046005,2.4575587722475585,9.293409527661716,6.370486625098814,0.0
36,KT2440.gfg.3,0.0,10.933527196058868,0.0,7.584454899813591,0.0,KT2440,gfg,3,11.77970129902734,8.25840774061,2.244747530015082,12.210073224461128,22.71322849508621,0.0,0.7324,0.3433028666917697,0.3414960000000001,8.302103250582476,2.256624563841002,12.274677127913428,10.991376852025896,0.0
37,GB062.f.1,2.31664756268803,0.0,0.0,23.981500108625266,0.0,GB062,f,1,2.9435121145975027,0.0,5.6462676044002045,0.0,5.6462676044002045,0.4102971600004645,0.6971,0.04605034118731352,0.32243400000000005,0.0,0.8064054957526338,0.0,0.0,0.3308658847160723
38,GB062.f.2,2.3913175566849962,0.0,0.0,23.415725453185647,0.0,GB062,f,2,3.4221717770406603,0.0,6.212042259839823,0.0,6.212042259839823,0.3849486942715448,0.7253,0.04699082617230175,0.337662,0.0,0.864500589367846,0.0,0.0,0.3327883730741333
39,GB062.f.3,2.1508756493001275,0.0,0.0,24.754502893553852,0.0,GB062,f,3,2.363909895288136,0.0,4.873264819471618,0.0,4.873264819471618,0.4413623574705171,0.6624,0.04483943027754491,0.303696,0.0,0.7195169448945989,0.0,0.0,0.31756769503866433
40,GB062.glu.1,2.698734436060935,0.0,0.0,0.0,26.072727213784116,GB062,glu,1,14.800799046047544,0.0,0.0,17.9493225547853,17.9493225547853,0.1503529967676385,0.6826,0.06332175684846587,0.31460400000000005,0.0,0.0,3.612740583110192,0.0,0.5431863732146831
41,GB062.glu.2,2.627284365566283,0.0,0.0,0.0,25.170192591485385,GB062,glu,2,15.786692083923368,0.0,0.0,18.85185717708403,18.85185717708403,0.13936475016158945,0.7029,0.06500148160645894,0.325566,0.0,0.0,3.7639023962693234,0.0,0.5245553170886822
42,GB062.glu.3,2.4898103232303312,0.0,0.0,0.0,26.222203989449397,GB062,glu,3,14.895067068684632,0.0,0.0,17.79984577912002,17.79984577912002,0.13987819636903737,0.6777,0.06308424904077987,0.311958,0.0,0.0,3.5994906494383274,0.0,0.5034902598906482
